Pclass,Survived,Name,Sex,Age,Ticket,Fare,Embarked
1.0,True,"Allen, Miss. Elisabeth Walton",female,29.0,24160,211.3375,S
1.0,True,"Allison, Master. Hudson Trevor",male,0.9167,113781,151.55,S
1.0,False,"Allison, Miss. Helen Loraine",female,2.0,113781,151.55,S
1.0,False,"Allison, Mr. Hudson Joshua Creighton",male,30.0,113781,151.55,S
1.0,False,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,113781,151.55,S
1.0,True,"Anderson, Mr. Harry",male,48.0,19952,26.55,S
1.0,True,"Andrews, Miss. Kornelia Theodosia",female,63.0,13502,77.9583,S
1.0,False,"Andrews, Mr. Thomas Jr",male,39.0,112050,0.0,S
1.0,True,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53.0,11769,51.4792,S
1.0,False,"Artagaveytia, Mr. Ramon",male,71.0,PC 17609,49.5042,C
1.0,False,"Astor, Col. John Jacob",male,47.0,PC 17757,227.525,C
1.0,True,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18.0,PC 17757,227.525,C
1.0,True,"Aubart, Mme. Leontine Pauline",female,24.0,PC 17477,69.3,C
1.0,True,"Barber, Miss. Ellen ""Nellie""",female,26.0,19877,78.85,S
1.0,True,"Barkworth, Mr. Algernon Henry Wilson",male,80.0,27042,30.0,S
1.0,False,"Baumann, Mr. John D",male,23.85928755725191,PC 17318,25.925,S
1.0,False,"Baxter, Mr. Quigg Edmond",male,24.0,PC 17558,247.5208,C
1.0,True,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,PC 17558,247.5208,C
1.0,True,"Bazzani, Miss. Albina",female,32.0,11813,76.2917,C
1.0,False,"Beattie, Mr. Thomson",male,36.0,13050,75.2417,C
1.0,True,"Beckwith, Mr. Richard Leonard",male,37.0,11751,52.5542,S
1.0,True,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47.0,11751,52.5542,S
1.0,True,"Behr, Mr. Karl Howell",male,26.0,111369,30.0,C
1.0,True,"Bidois, Miss. Rosalie",female,42.0,PC 17757,227.525,C
1.0,True,"Bird, Miss. Ellen",female,29.0,PC 17483,221.7792,S
1.0,False,"Birnbaum, Mr. Jakob",male,25.0,13905,26.0,C
1.0,True,"Bishop, Mr. Dickinson H",male,25.0,11967,91.0792,C
1.0,True,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,11967,91.0792,C
1.0,True,"Bissette, Miss. Amelia",female,35.0,PC 17760,135.6333,S
1.0,True,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,110564,26.55,S
1.0,False,"Blackwell, Mr. Stephen Weart",male,45.0,113784,35.5,S
1.0,True,"Blank, Mr. Henry",male,40.0,112277,31.0,C
1.0,True,"Bonnell, Miss. Caroline",female,30.0,36928,164.8667,S
1.0,True,"Bonnell, Miss. Elizabeth",female,58.0,113783,26.55,S
1.0,False,"Borebank, Mr. John James",male,42.0,110489,26.55,S
1.0,True,"Bowen, Miss. Grace Scott",female,45.0,PC 17608,262.375,C
1.0,True,"Bowerman, Miss. Elsie Edith",female,22.0,113505,55.0,S
1.0,True,"Bradley, Mr. George (""George Arthur Brayton"")",male,23.85928755725191,111427,26.55,S
1.0,False,"Brady, Mr. John Bertram",male,41.0,113054,30.5,S
1.0,False,"Brandeis, Mr. Emil",male,48.0,PC 17591,50.4958,C
1.0,False,"Brewe, Dr. Arthur Jackson",male,23.85928755725191,112379,39.6,C
1.0,True,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,PC 17610,27.7208,C
1.0,True,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59.0,11769,51.4792,S
1.0,True,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60.0,11813,76.2917,C
1.0,True,"Burns, Miss. Elizabeth Margaret",female,41.0,16966,134.5,C
1.0,False,"Butt, Major. Archibald Willingham",male,45.0,113050,26.55,S
1.0,False,"Cairns, Mr. Alexander",male,23.85928755725191,113798,31.0,S
1.0,True,"Calderhead, Mr. Edward Pennington",male,42.0,PC 17476,26.2875,S
1.0,True,"Candee, Mrs. Edward (Helen Churchill Hungerford)",female,53.0,PC 17606,27.4458,C
1.0,True,"Cardeza, Mr. Thomas Drake Martinez",male,36.0,PC 17755,512.3292,C
1.0,True,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,58.0,PC 17755,512.3292,C
1.0,False,"Carlsson, Mr. Frans Olof",male,33.0,695,5.0,S
1.0,False,"Carrau, Mr. Francisco M",male,28.0,113059,47.1,S
1.0,False,"Carrau, Mr. Jose Pedro",male,17.0,113059,47.1,S
1.0,True,"Carter, Master. William Thornton II",male,11.0,113760,120.0,S
1.0,True,"Carter, Miss. Lucile Polk",female,14.0,113760,120.0,S
1.0,True,"Carter, Mr. William Ernest",male,36.0,113760,120.0,S
1.0,True,"Carter, Mrs. William Ernest (Lucile Polk)",female,36.0,113760,120.0,S
1.0,False,"Case, Mr. Howard Brown",male,49.0,19924,26.0,S
1.0,True,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,23.85928755725191,17770,27.7208,C
1.0,False,"Cavendish, Mr. Tyrell William",male,36.0,19877,78.85,S
1.0,True,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76.0,19877,78.85,S
1.0,False,"Chaffee, Mr. Herbert Fuller",male,46.0,W.E.P. 5734,61.175,S
1.0,True,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47.0,W.E.P. 5734,61.175,S
1.0,True,"Chambers, Mr. Norman Campbell",male,27.0,113806,53.1,S
1.0,True,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33.0,113806,53.1,S
1.0,True,"Chaudanson, Miss. Victorine",female,36.0,PC 17608,262.375,C
1.0,True,"Cherry, Miss. Gladys",female,30.0,110152,86.5,S
1.0,True,"Chevre, Mr. Paul Romaine",male,45.0,PC 17594,29.7,C
1.0,True,"Chibnall, Mrs. (Edith Martha Bowerman)",female,23.85928755725191,113505,55.0,S
1.0,False,"Chisholm, Mr. Roderick Robert Crispin",male,23.85928755725191,112051,0.0,S
1.0,False,"Clark, Mr. Walter Miller",male,27.0,13508,136.7792,C
1.0,True,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,26.0,13508,136.7792,C
1.0,True,"Cleaver, Miss. Alice",female,22.0,113781,151.55,S
1.0,False,"Clifford, Mr. George Quincy",male,23.85928755725191,110465,52.0,S
1.0,False,"Colley, Mr. Edward Pomeroy",male,47.0,5727,25.5875,S
1.0,True,"Compton, Miss. Sara Rebecca",female,39.0,PC 17756,83.1583,C
1.0,False,"Compton, Mr. Alexander Taylor Jr",male,37.0,PC 17756,83.1583,C
1.0,True,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64.0,PC 17756,83.1583,C
1.0,True,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,55.0,11770,25.7,S
1.0,False,"Crafton, Mr. John Bertram",male,23.85928755725191,113791,26.55,S
1.0,False,"Crosby, Capt. Edward Gifford",male,70.0,WE/P 5735,71.0,S
1.0,True,"Crosby, Miss. Harriet R",female,36.0,WE/P 5735,71.0,S
1.0,True,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,64.0,112901,26.55,S
1.0,False,"Cumings, Mr. John Bradley",male,39.0,PC 17599,71.2833,C
1.0,True,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,PC 17599,71.2833,C
1.0,True,"Daly, Mr. Peter Denis ",male,51.0,113055,26.55,S
1.0,True,"Daniel, Mr. Robert Williams",male,27.0,113804,30.5,S
1.0,True,"Daniels, Miss. Sarah",female,33.0,113781,151.55,S
1.0,False,"Davidson, Mr. Thornton",male,31.0,F.C. 12750,52.0,S
1.0,True,"Davidson, Mrs. Thornton (Orian Hays)",female,27.0,F.C. 12750,52.0,S
1.0,True,"Dick, Mr. Albert Adrian",male,31.0,17474,57.0,S
1.0,True,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17.0,17474,57.0,S
